x_mm,y_mm,z_mm,v_pp,v_max,v_min,frequency,pii,pd
15.625,3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.9030160441788,0.0007925
-15.625,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.67423314703,0.0007899999999999999
-12.5,6.25,0.0,19.6,10.8,-8.8,992.063492063492,556.0032087602915,0.0007925
-9.375,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.9905306890896,0.0007925
-6.25,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.7944007507776,0.0007925
-3.125,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.3161398176593,0.0007925
0.0,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.4102781801047,0.0007925
3.125,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.7407119778456,0.0007925
6.25,6.25,0.0,19.6,10.8,-8.8,992.063492063492,556.217809428279,0.0007925
9.375,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.3326183632036,0.0007899999999999999
12.5,6.25,0.0,19.6,10.8,-8.8,992.063492063492,556.4871892658384,0.0007925
15.625,6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.6912079703964,0.0007899999999999999
-15.625,9.375,0.0,19.6,10.8,-8.8,992.063492063492,556.2595285931234,0.0007925
-12.5,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.5344596222942,0.0007899999999999999
-9.375,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.8875359483144,0.0007899999999999999
-6.25,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.5880010443288,0.0007925
-3.125,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.8529438516696,0.0007899999999999999
0.0,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.4090522206394,0.0007899999999999999
3.125,9.375,0.0,19.6,10.8,-8.8,992.063492063492,556.0207883117403,0.0007925
6.25,9.375,0.0,19.6,10.8,-8.8,992.063492063492,556.1807654127034,0.0007925
9.375,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.2461139560444,0.0007925
12.5,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.4821205835811,0.0007925
15.625,9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.6927392409209,0.0007899999999999999
